# source_line	category	lat1_deg	lon1_deg	azi1_deg	lat2_deg	lon2_deg	azi2_deg	s12	a12_deg	m12	S12
28231	ordinary-short	1.446138098636	0	21.34465474925	2.2615177858362036	.316750573787979335	21.354901839938120695	96803.8891393	.872526452612803138	96800.1476422492797	7226876839.671507
53703	ordinary-short	7.84750110235	0	42.673975679512	8.459111657568715742	.566674068631616344	42.754344473066905761	92060.9458526	.829723749222470365	92057.7286166048353	56685820813.474951
64419	ordinary-short	28.629954425596	0	57.330502590522	29.102356138908354843	.843464151398186558	57.737706838099102378	97535.6744245	.878439307233832693	97531.859312828478	287483165604.080038
15	ordinary-regional	14.64372994794	0	15.026799504039	33.069613195449914273	5.796995960185562748	17.403844642345699255	2123472.323569	19.128777244884873422	2084286.7481321837012	1677849152931.016632
74	ordinary-regional	31.371144087006	0	95.038829595627	28.909631785856762476	17.071526465331372406	103.660711362255135363	1665550.2846815	14.999405550550820854	1646623.4338249408166	6087592163895.266734
95	ordinary-regional	52.125418790586	0	49.90176846866	57.992299464190689001	15.128356773546692481	62.34298208473670643	1162588.691752	10.455170176021143192	1156176.5423144634564	8800889303749.603922
1	intercontinental	36.530042355041	0	176.125875162171	-48.164270779097768864	5.762344694676510456	175.334308316285410561	9398502.0434687	84.663858149358862201	6333544.7732452481809	-559418252332.321555
2	intercontinental	62.912967770911	0	119.074519410562	-23.186512533703375483	68.567247430960081525	154.287114123871723086	11254667.2007643	101.34948410954772013	6243126.4334319566678	24901551594881.448587
4	intercontinental	15.543058059808	0	165.300914097354	-49.416672064705806337	166.82808321068892367	22.033030848248991914	16063336.69802	144.535997930981394845	3730158.2076640481146	-101426349516912.422958
100001	near-antipodal	8.226828747671	0	111.1269645725	-8.516119211674268968	178.688979582629224039	68.982798544955243193	19886305.6710041	179.197987814300505446	97496.4436255989712	-29736790544759.340534
125000	near-antipodal	62.538546789067	0	77.836530104096	-62.518733475519637718	179.529885822267691053	102.33871487317794758	19986666.1865203	179.906447620008950842	11053.6365964173811	17341858740161.603978
150000	near-antipodal	6.41006441605	0	92.983448516701	-6.447745364861241676	178.668219616534578337	87.098609204375216186	19889655.8977682	179.268351203034121189	81349.9703469999105	-4150593900497.168922
150001	very-short	19.707097385334	0	20.996796804557	19.707739582810256591	.000260256428101053	20.996884567489087848	76.1478894	.000686088035484782	76.1478893981816	61926933.089677
175000	very-short	46.339497596025	0	.52950164743	46.349396526191508165	.000132111498775676	.529597230480026333	1100.392737	.009900857059845857	1100.3927315427701	67568678.648603
200000	very-short	46.921928479028	0	136.686755376164	46.919208365712763034	.003742737023216874	136.689489099416493407	415.5859919	.00373913659756736	415.5859916060637	1932585086.616297
200001	one-end-near-pole	89.997817345644	0	2.624783190362	39.575446357285395097	177.375133897726011603	179.999870061583075319	5619818.6599569	50.521203970945186704	4923028.9320670410353	125656852481851.081548
225000	one-end-near-pole	89.993563789979	0	137.929549664744	7.879219985451689253	42.069832553566870505	179.99563198401592113	9130138.0921782	82.142073554507915011	6318244.5503169567166	29800628699966.894167
250000	one-end-near-pole	89.990307421348	0	70.069533302725	-71.658504198293606835	109.957866105546592394	179.97103374257845678	17956358.8091966	161.604268069438731628	2012803.067180327234	77856903574954.940795
250001	opposite-poles	89.99833069486	0	141.970826400559	-89.996609785102786014	55.687639712582672767	162.341522986472567026	20003423.7670087	179.995439328708350022	507.6915178852808	14431100026344.312975
275000	opposite-poles	89.996357953062	0	117.042816553676	-89.994714427948486027	100.815980827232211093	142.141168199881849236	20003280.3974477	179.994151418904180834	651.060926068491	17780286578256.792753
300000	opposite-poles	89.999808575653	0	12.42244200478	-89.993379455267265364	167.93393101782944947	179.643626540241540087	20003212.8783198	179.993544883285769749	718.5803295955313	118463579799315.976278
